system_kanji_profile_link,company_name,capital,establishment_year,number_of_members,company_website,location,representative,system_kanji_project_count
https://system-kanji.com/services/17375,株式会社デイ・ディライト,"3,000,000円",2012年1月11日,,https://www.daydelight.com/,〒 733-0012 広島県広島市西区中広町3丁目2-17 第7山本ビル201号,藤原 克明,0
https://system-kanji.com/services/17374,株式会社コトブキソリューション,"6,000万円",,150名（2020年7月現在）,https://www.ksol.jp/,〒 737-0046 広島県呉市中通２丁目６番６号 寿工業ビル,木﨑 裕之,0
https://system-kanji.com/services/17372,株式会社エアーシステムソリューション,"94,255,310円",1983年8月8日,76名：2021年1月1日現在,https://www.air.co.jp/,〒 565-0851 大阪府吹田市千里山西5-31-20,森 剛,0
https://system-kanji.com/services/17366,有限会社伊藤ソフトデザイン,500万円,1990年9月,,https://www.itosoft.com/,〒 019-1602 秋田県大仙市太田町三本扇字篠沢45-2,伊藤 勝良,0
https://system-kanji.com/services/12523,株式会社アルナシステム,"41,500,000円",2000年10月,,http://www.alnasystem.com/,〒 220-0012 神奈川県横浜市西区みなとみらい4-4-2 横浜ブルーアベニュー12F,平田 淳,0
https://system-kanji.com/services/16427,オーアイシステム株式会社,"1,000万円",1981年6月,,http://www.oi-sys.co.jp/ois_outline.html,〒 231-0033 神奈川県横浜市中区長者町5-75-1,大場 優,0
https://system-kanji.com/services/16039,Office K,,2020年11月,,https://cd-officek.com/,岩手県盛岡市,,0
https://system-kanji.com/services/14260,株式会社ジャパン・コンピュータ・テクノロジー,"5,800万円",1979年12月27日,,http://www.jctechno.co.jp/,〒 108-0014 東京都港区芝 5-25-11 ヒューリック三田ビル 7F,小林 好紀,0
https://system-kanji.com/services/13308,株式会社日本シスラル,1000万円,1994年7月7日,40名,http://www.sysral.jp/,〒 105-0012 東京都港区芝大門2丁目9番14号 加登ビル３階,犬飼 岩男,0
https://system-kanji.com/services/11461,株式会社ファーストコンサルティング,"1,500万円",1999年5月,9名 グループ全体22名,http://www.first.ne.jp/,〒 103-0023 東京都中央区日本橋本町3-3-6 日本橋ワカ末ビル7F,河合 朋秋,0
https://system-kanji.com/services/15662,株式会社アクシス,"7,000万円",1986年4月1日,,https://www.axis.co.jp/index.html,〒 807-0822 福岡県北九州市八幡西区瀬板1-16-1,山本 忠司,0
https://system-kanji.com/services/15523,株式会社オルトロボ,300万円,2018年9月,,https://altrobo.co.jp/service/,〒 812-0014 福岡県福岡市博多区比恵町4-17 日高ビル2階,野下 主税,0
https://system-kanji.com/services/15666,株式会社ビーブレックス,"1,500万円",2002年3月1日,23名,https://www.b-breaks.com/,〒 385-0011 長野県佐久市猿久保 245-4,小林 隆,0
https://system-kanji.com/services/14242,株式会社アイワ情報サービス,"3,000万円",1980年7月,,http://www.iwa.co.jp/,〒 150-0043 東京都渋谷区道玄坂2-10-10 世界堂ビル6F,新井 健治,0
https://system-kanji.com/services/14245,株式会社エフェクト,"1,000万円",1992年12月,,https://effect-effect.com/,〒 150-0001 東京都渋谷区神宮前5-50-6 サクセス青山ビル5F,金子 健,0
https://system-kanji.com/services/14247,株式会社ジョインポイントテック,"1,000万円",2006年8月28日,,http://www.j-p-tech.com/new/html/,〒 110-0016 東京都台東区台東３－１２－５ クラシックビル３Ｆ,季 晶,0
https://system-kanji.com/services/14248,株式会社ジェイ・システム,"1,000万円",1993年6月,,http://www.j-system.co.jp/,〒 116-0014 東京都荒川区東日暮里５－５２－１０ 東栄産業日暮里駅前第Ⅲビル１０階,大野 義雄,0
https://system-kanji.com/services/14252,株式会社ジェイム,"1,500万円",1988年4月,,http://www.jaim.co.jp/,〒 141－0022 東京都品川区 東五反田 ４－７－２５ ＴＹビル ７F,黒澤 孝志,0
https://system-kanji.com/services/14259,日本流通システム株式会社,"3,000万円",1990年8月16日,,http://www.jcs-ltd.com/,〒 540-0031 大阪府大阪市中央区北浜東1-8 北浜東森田ビル２階,平井 義之,0
https://system-kanji.com/services/14266,株式会社ジェーエフシー,"4,000万円",1961年5月,7人,http://www.jfc-net.co.jp/,〒 141-0031 東京都品川区西五反田2-29-5 クワバラビル4F,布施 経夫,0
https://system-kanji.com/services/14268,日本ファイナンシャル・エンジニアリング株式会社,"3,000万円",1999年2月10日,,http://www.jfe.co.jp/,〒 104-0033 東京都中央区新川1-8-8 アクロス新川ビル 3階,鈴木 俊正,0
https://system-kanji.com/services/14271,ジャパニアス株式会社,"2,000万円",1999年12月22日,1200人,http://www.jna.co.jp/,〒 220-8118 神奈川県横浜市西区みなとみらい2-2-1 横浜ランドマークタワー18F,西川 三郎,0
https://system-kanji.com/services/14274,日本郵政インフォメーションテクノロジー株式会社,31億5000万円,1987年,251人,http://www.jp-it.jp/,〒 160-0022 東京都新宿区新宿6-27-30 新宿イーストサイドスクエア 7階,雪野 誠二,0
https://system-kanji.com/services/14276,株式会社ゼンリン,"65億5,764万円",1961年4月,1959人,https://www.zenrin.co.jp/index.html,〒 804-0003 福岡県北九州市戸畑区中原新町3番1号,髙山 善司,0
